12.0,81.0,114.0,41.0,51.0,72.0,50.0,0.0,26.0,57.0,68.0,41.0,44.0,42.0,106.0,13.0,63.0,43.0,117.0,8.0,34.0,97.0,77.0,51.0,89.0,50.0,44.0,63.0,115.0,29.0,78.0,87.0,117.0,85.0,68.0,89.0,68.0,89.0,58.0
24.0,72.0,105.0,31.0,25.0,63.0,36.0,26.0,0.0,47.0,59.0,31.0,18.0,33.0,97.0,16.0,53.0,34.0,108.0,18.0,8.0,88.0,68.0,25.0,79.0,36.0,18.0,53.0,106.0,15.0,69.0,78.0,108.0,75.0,59.0,80.0,59.0,79.0,49.0
56.0,119.0,152.0,44.0,64.0,110.0,83.0,57.0,47.0,0.0,106.0,44.0,57.0,80.0,144.0,57.0,9.0,81.0,155.0,49.0,47.0,135.0,115.0,64.0,35.0,83.0,57.0,9.0,153.0,62.0,116.0,125.0,155.0,31.0,106.0,127.0,106.0,35.0,96.0
66.0,29.0,74.0,90.0,59.0,20.0,58.0,68.0,59.0,106.0,0.0,90.0,62.0,26.0,66.0,58.0,112.0,37.0,77.0,65.0,64.0,57.0,37.0,59.0,138.0,58.0,62.0,112.0,75.0,44.0,38.0,47.0,77.0,134.0,0.0,49.0,0.0,138.0,10.0
40.0,103.0,136.0,0.0,47.0,94.0,67.0,41.0,31.0,44.0,90.0,0.0,40.0,64.0,128.0,41.0,50.0,65.0,139.0,33.0,30.0,119.0,99.0,47.0,76.0,67.0,40.0,50.0,137.0,46.0,100.0,109.0,139.0,72.0,90.0,111.0,90.0,76.0,80.0
42.0,75.0,108.0,40.0,8.0,66.0,39.0,44.0,18.0,57.0,62.0,40.0,0.0,36.0,100.0,34.0,63.0,37.0,111.0,36.0,10.0,91.0,71.0,8.0,89.0,39.0,0.0,63.0,109.0,18.0,72.0,81.0,111.0,85.0,62.0,83.0,62.0,89.0,52.0
40.0,39.0,72.0,64.0,37.0,30.0,36.0,42.0,33.0,80.0,26.0,64.0,36.0,0.0,64.0,32.0,86.0,11.0,75.0,39.0,38.0,55.0,35.0,37.0,112.0,36.0,36.0,86.0,73.0,18.0,36.0,45.0,75.0,108.0,26.0,47.0,26.0,112.0,16.0
104.0,79.0,20.0,128.0,97.0,67.0,96.0,106.0,97.0,144.0,66.0,128.0,100.0,64.0,0.0,96.0,150.0,75.0,24.0,103.0,102.0,9.0,40.0,97.0,176.0,96.0,100.0,150.0,21.0,82.0,28.0,19.0,24.0,172.0,66.0,42.0,66.0,176.0,56.0
8.0,71.0,104.0,41.0,41.0,62.0,40.0,13.0,16.0,57.0,58.0,41.0,34.0,32.0,96.0,0.0,63.0,33.0,107.0,16.0,24.0,87.0,67.0,41.0,89.0,40.0,34.0,63.0,105.0,19.0,68.0,77.0,107.0,85.0,58.0,79.0,58.0,89.0,48.0
62.0,125.0,158.0,50.0,70.0,116.0,89.0,63.0,53.0,9.0,112.0,50.0,63.0,86.0,150.0,63.0,0.0,87.0,161.0,55.0,53.0,141.0,121.0,70.0,26.0,89.0,63.0,0.0,159.0,68.0,122.0,131.0,161.0,22.0,112.0,133.0,112.0,26.0,102.0
41.0,50.0,83.0,65.0,40.0,41.0,39.0,43.0,34.0,81.0,37.0,65.0,37.0,11.0,75.0,33.0,87.0,0.0,86.0,40.0,39.0,66.0,46.0,40.0,113.0,39.0,37.0,87.0,84.0,19.0,47.0,56.0,86.0,109.0,37.0,58.0,37.0,113.0,27.0
115.0,90.0,4.0,139.0,108.0,78.0,107.0,117.0,108.0,155.0,77.0,139.0,111.0,75.0,24.0,107.0,161.0,86.0,0.0,114.0,113.0,29.0,51.0,108.0,187.0,107.0,111.0,161.0,24.0,93.0,39.0,34.0,0.0,183.0,77.0,53.0,77.0,187.0,67.0
15.0,78.0,111.0,33.0,43.0,69.0,42.0,8.0,18.0,49.0,65.0,33.0,36.0,39.0,103.0,16.0,55.0,40.0,114.0,0.0,26.0,94.0,74.0,43.0,81.0,42.0,36.0,55.0,112.0,21.0,75.0,84.0,114.0,77.0,65.0,86.0,65.0,81.0,55.0
32.0,77.0,110.0,30.0,17.0,68.0,41.0,34.0,8.0,47.0,64.0,30.0,10.0,38.0,102.0,24.0,53.0,39.0,113.0,26.0,0.0,93.0,73.0,17.0,79.0,41.0,10.0,53.0,111.0,20.0,74.0,83.0,113.0,75.0,64.0,85.0,64.0,79.0,54.0
95.0,70.0,26.0,119.0,88.0,58.0,87.0,97.0,88.0,135.0,57.0,119.0,91.0,55.0,9.0,87.0,141.0,66.0,29.0,94.0,93.0,0.0,31.0,88.0,167.0,87.0,91.0,141.0,27.0,73.0,19.0,10.0,29.0,163.0,57.0,33.0,57.0,167.0,47.0
75.0,50.0,48.0,99.0,68.0,38.0,67.0,77.0,68.0,115.0,37.0,99.0,71.0,35.0,40.0,67.0,121.0,46.0,51.0,74.0,73.0,31.0,0.0,68.0,147.0,67.0,71.0,121.0,49.0,53.0,12.0,21.0,51.0,143.0,37.0,12.0,37.0,147.0,27.0
49.0,72.0,105.0,47.0,0.0,63.0,36.0,51.0,25.0,64.0,59.0,47.0,8.0,37.0,97.0,41.0,70.0,40.0,108.0,43.0,17.0,88.0,68.0,0.0,96.0,36.0,8.0,70.0,106.0,22.0,69.0,78.0,108.0,92.0,59.0,80.0,59.0,96.0,49.0
88.0,151.0,184.0,76.0,96.0,142.0,115.0,89.0,79.0,35.0,138.0,76.0,89.0,112.0,176.0,89.0,26.0,113.0,187.0,81.0,79.0,167.0,147.0,96.0,0.0,115.0,89.0,26.0,185.0,94.0,148.0,157.0,187.0,21.0,138.0,159.0,138.0,0.0,128.0
48.0,71.0,104.0,67.0,36.0,62.0,0.0,50.0,36.0,83.0,58.0,67.0,39.0,36.0,96.0,40.0,89.0,39.0,107.0,42.0,41.0,87.0,67.0,36.0,115.0,0.0,39.0,89.0,105.0,21.0,68.0,77.0,107.0,111.0,58.0,79.0,58.0,115.0,48.0
42.0,75.0,108.0,40.0,8.0,66.0,39.0,44.0,18.0,57.0,62.0,40.0,0.0,36.0,100.0,34.0,63.0,37.0,111.0,36.0,10.0,91.0,71.0,8.0,89.0,39.0,0.0,63.0,109.0,18.0,72.0,81.0,111.0,85.0,62.0,83.0,62.0,89.0,52.0
62.0,125.0,158.0,50.0,70.0,116.0,89.0,63.0,53.0,9.0,112.0,50.0,63.0,86.0,150.0,63.0,0.0,87.0,161.0,55.0,53.0,141.0,121.0,70.0,26.0,89.0,63.0,0.0,159.0,68.0,122.0,131.0,161.0,22.0,112.0,133.0,112.0,26.0,102.0
113.0,88.0,20.0,137.0,106.0,76.0,105.0,115.0,106.0,153.0,75.0,137.0,109.0,73.0,21.0,105.0,159.0,84.0,24.0,112.0,111.0,27.0,49.0,106.0,185.0,105.0,109.0,159.0,0.0,91.0,37.0,32.0,24.0,181.0,75.0,51.0,75.0,185.0,65.0
27.0,57.0,90.0,46.0,22.0,48.0,21.0,29.0,15.0,62.0,44.0,46.0,18.0,18.0,82.0,19.0,68.0,19.0,93.0,21.0,20.0,73.0,53.0,22.0,94.0,21.0,18.0,68.0,91.0,0.0,54.0,63.0,93.0,90.0,44.0,65.0,44.0,94.0,34.0
76.0,51.0,36.0,100.0,69.0,39.0,68.0,78.0,69.0,116.0,38.0,100.0,72.0,36.0,28.0,68.0,122.0,47.0,39.0,75.0,74.0,19.0,12.0,69.0,148.0,68.0,72.0,122.0,37.0,54.0,0.0,9.0,39.0,144.0,38.0,14.0,38.0,148.0,28.0
85.0,60.0,31.0,109.0,78.0,48.0,77.0,87.0,78.0,125.0,47.0,109.0,81.0,45.0,19.0,77.0,131.0,56.0,34.0,84.0,83.0,10.0,21.0,78.0,157.0,77.0,81.0,131.0,32.0,63.0,9.0,0.0,34.0,153.0,47.0,23.0,47.0,157.0,37.0
115.0,90.0,4.0,139.0,108.0,78.0,107.0,117.0,108.0,155.0,77.0,139.0,111.0,75.0,24.0,107.0,161.0,86.0,0.0,114.0,113.0,29.0,51.0,108.0,187.0,107.0,111.0,161.0,24.0,93.0,39.0,34.0,0.0,183.0,77.0,53.0,77.0,187.0,67.0
84.0,147.0,180.0,72.0,92.0,138.0,111.0,85.0,75.0,31.0,134.0,72.0,85.0,108.0,172.0,85.0,22.0,109.0,183.0,77.0,75.0,163.0,143.0,92.0,21.0,111.0,85.0,22.0,181.0,90.0,144.0,153.0,183.0,0.0,134.0,155.0,134.0,21.0,124.0
66.0,29.0,74.0,90.0,59.0,20.0,58.0,68.0,59.0,106.0,0.0,90.0,62.0,26.0,66.0,58.0,112.0,37.0,77.0,65.0,64.0,57.0,37.0,59.0,138.0,58.0,62.0,112.0,75.0,44.0,38.0,47.0,77.0,134.0,0.0,49.0,0.0,138.0,10.0
87.0,62.0,50.0,111.0,80.0,50.0,79.0,89.0,80.0,127.0,49.0,111.0,83.0,47.0,42.0,79.0,133.0,58.0,53.0,86.0,85.0,33.0,12.0,80.0,159.0,79.0,83.0,133.0,51.0,65.0,14.0,23.0,53.0,155.0,49.0,0.0,49.0,159.0,39.0
66.0,29.0,74.0,90.0,59.0,20.0,58.0,68.0,59.0,106.0,0.0,90.0,62.0,26.0,66.0,58.0,112.0,37.0,77.0,65.0,64.0,57.0,37.0,59.0,138.0,58.0,62.0,112.0,75.0,44.0,38.0,47.0,77.0,134.0,0.0,49.0,0.0,138.0,10.0
88.0,151.0,184.0,76.0,96.0,142.0,115.0,89.0,79.0,35.0,138.0,76.0,89.0,112.0,176.0,89.0,26.0,113.0,187.0,81.0,79.0,167.0,147.0,96.0,0.0,115.0,89.0,26.0,185.0,94.0,148.0,157.0,187.0,21.0,138.0,159.0,138.0,0.0,128.0
56.0,24.0,64.0,80.0,49.0,15.0,48.0,58.0,49.0,96.0,10.0,80.0,52.0,16.0,56.0,48.0,102.0,27.0,67.0,55.0,54.0,47.0,27.0,49.0,128.0,48.0,52.0,102.0,65.0,34.0,28.0,37.0,67.0,124.0,10.0,39.0,10.0,128.0,0.0
