44.0,88.0,57.0,73.0,54.0,29.0,0.0,15.0,61.0,81.0,18.0,91.0,18.0,93.0,9.0,56.0,74.0,65.0,83.0,81.0,83.0,93.0,21.0,21.0,19.0,87.0,46.0,37.0,54.0,82.0,87.0,30.0,63.0,73.0,73.0,74.0,95.0,71.0,34.0
29.0,73.0,72.0,58.0,69.0,26.0,15.0,0.0,76.0,66.0,32.0,106.0,33.0,108.0,24.0,41.0,89.0,80.0,98.0,66.0,68.0,108.0,18.0,36.0,16.0,72.0,31.0,22.0,69.0,97.0,72.0,45.0,78.0,58.0,58.0,89.0,80.0,56.0,49.0
105.0,149.0,9.0,134.0,55.0,85.0,61.0,76.0,0.0,142.0,72.0,92.0,43.0,94.0,52.0,117.0,75.0,66.0,84.0,142.0,144.0,94.0,82.0,75.0,75.0,148.0,107.0,98.0,55.0,83.0,148.0,37.0,64.0,134.0,134.0,75.0,156.0,132.0,28.0
43.0,31.0,138.0,20.0,135.0,76.0,81.0,66.0,142.0,0.0,98.0,172.0,99.0,174.0,90.0,84.0,155.0,146.0,164.0,0.0,26.0,174.0,68.0,102.0,76.0,30.0,63.0,65.0,135.0,163.0,30.0,111.0,144.0,20.0,20.0,155.0,38.0,10.0,115.0
61.0,105.0,68.0,90.0,65.0,47.0,18.0,32.0,72.0,98.0,0.0,102.0,33.0,104.0,24.0,73.0,85.0,76.0,94.0,98.0,100.0,104.0,39.0,11.0,37.0,104.0,63.0,54.0,65.0,93.0,104.0,41.0,74.0,90.0,90.0,85.0,112.0,88.0,45.0
135.0,179.0,88.0,164.0,37.0,115.0,91.0,106.0,92.0,172.0,102.0,0.0,73.0,24.0,82.0,147.0,17.0,51.0,8.0,172.0,174.0,24.0,112.0,105.0,105.0,178.0,137.0,128.0,37.0,21.0,178.0,61.0,32.0,164.0,164.0,17.0,186.0,162.0,65.0
62.0,106.0,39.0,91.0,36.0,42.0,18.0,33.0,43.0,99.0,33.0,73.0,0.0,75.0,9.0,74.0,56.0,47.0,65.0,99.0,101.0,75.0,39.0,36.0,32.0,105.0,64.0,55.0,36.0,64.0,105.0,12.0,45.0,91.0,91.0,56.0,113.0,89.0,16.0
137.0,181.0,90.0,166.0,39.0,117.0,93.0,108.0,94.0,174.0,104.0,24.0,75.0,0.0,84.0,149.0,19.0,53.0,17.0,174.0,176.0,0.0,114.0,107.0,107.0,180.0,139.0,130.0,39.0,24.0,180.0,63.0,34.0,166.0,166.0,19.0,188.0,164.0,67.0
53.0,97.0,48.0,82.0,45.0,33.0,9.0,24.0,52.0,90.0,24.0,82.0,9.0,84.0,0.0,65.0,65.0,56.0,74.0,90.0,92.0,84.0,30.0,27.0,23.0,96.0,55.0,46.0,45.0,73.0,96.0,21.0,54.0,82.0,82.0,65.0,104.0,80.0,25.0
41.0,91.0,113.0,76.0,110.0,52.0,56.0,41.0,117.0,84.0,73.0,147.0,74.0,149.0,65.0,0.0,130.0,121.0,139.0,84.0,86.0,149.0,44.0,77.0,51.0,90.0,23.0,19.0,110.0,138.0,90.0,86.0,119.0,76.0,76.0,130.0,98.0,74.0,90.0
118.0,162.0,71.0,147.0,20.0,98.0,74.0,89.0,75.0,155.0,85.0,17.0,56.0,19.0,65.0,130.0,0.0,34.0,9.0,155.0,157.0,19.0,95.0,88.0,88.0,161.0,120.0,111.0,20.0,14.0,161.0,44.0,15.0,147.0,147.0,0.0,169.0,145.0,48.0
109.0,153.0,62.0,138.0,14.0,89.0,65.0,80.0,66.0,146.0,76.0,51.0,47.0,53.0,56.0,121.0,34.0,0.0,43.0,146.0,148.0,53.0,86.0,79.0,79.0,152.0,111.0,102.0,14.0,42.0,152.0,35.0,23.0,138.0,138.0,34.0,160.0,136.0,39.0
127.0,171.0,80.0,156.0,29.0,107.0,83.0,98.0,84.0,164.0,94.0,8.0,65.0,17.0,74.0,139.0,9.0,43.0,0.0,164.0,166.0,17.0,104.0,97.0,97.0,170.0,129.0,120.0,29.0,13.0,170.0,53.0,24.0,156.0,156.0,9.0,178.0,154.0,57.0
43.0,31.0,138.0,20.0,135.0,76.0,81.0,66.0,142.0,0.0,98.0,172.0,99.0,174.0,90.0,84.0,155.0,146.0,164.0,0.0,26.0,174.0,68.0,102.0,76.0,30.0,63.0,65.0,135.0,163.0,30.0,111.0,144.0,20.0,20.0,155.0,38.0,10.0,115.0
45.0,6.0,140.0,18.0,137.0,78.0,83.0,68.0,144.0,26.0,100.0,174.0,101.0,176.0,92.0,86.0,157.0,148.0,166.0,26.0,0.0,176.0,70.0,104.0,78.0,10.0,65.0,67.0,137.0,165.0,10.0,113.0,146.0,18.0,18.0,157.0,13.0,28.0,117.0
137.0,181.0,90.0,166.0,39.0,117.0,93.0,108.0,94.0,174.0,104.0,24.0,75.0,0.0,84.0,149.0,19.0,53.0,17.0,174.0,176.0,0.0,114.0,107.0,107.0,180.0,139.0,130.0,39.0,24.0,180.0,63.0,34.0,166.0,166.0,19.0,188.0,164.0,67.0
31.0,75.0,78.0,60.0,75.0,8.0,21.0,18.0,82.0,68.0,39.0,112.0,39.0,114.0,30.0,44.0,95.0,86.0,104.0,68.0,70.0,114.0,0.0,42.0,16.0,74.0,33.0,25.0,75.0,103.0,74.0,51.0,84.0,60.0,60.0,95.0,82.0,58.0,55.0
65.0,109.0,71.0,94.0,68.0,50.0,21.0,36.0,75.0,102.0,11.0,105.0,36.0,107.0,27.0,77.0,88.0,79.0,97.0,102.0,104.0,107.0,42.0,0.0,40.0,108.0,67.0,58.0,68.0,96.0,108.0,44.0,77.0,94.0,94.0,88.0,116.0,92.0,48.0
39.0,83.0,71.0,68.0,68.0,13.0,19.0,16.0,75.0,76.0,37.0,105.0,32.0,107.0,23.0,51.0,88.0,79.0,97.0,76.0,78.0,107.0,16.0,40.0,0.0,82.0,41.0,32.0,68.0,96.0,82.0,44.0,77.0,68.0,68.0,88.0,90.0,66.0,48.0
49.0,11.0,144.0,14.0,141.0,82.0,87.0,72.0,148.0,30.0,104.0,178.0,105.0,180.0,96.0,90.0,161.0,152.0,170.0,30.0,10.0,180.0,74.0,108.0,82.0,0.0,69.0,71.0,141.0,169.0,0.0,117.0,150.0,14.0,14.0,161.0,8.0,32.0,121.0
20.0,70.0,103.0,55.0,100.0,41.0,46.0,31.0,107.0,63.0,63.0,137.0,64.0,139.0,55.0,23.0,120.0,111.0,129.0,63.0,65.0,139.0,33.0,67.0,41.0,69.0,0.0,10.0,100.0,128.0,69.0,76.0,109.0,55.0,55.0,120.0,77.0,53.0,80.0
22.0,72.0,94.0,57.0,91.0,33.0,37.0,22.0,98.0,65.0,54.0,128.0,55.0,130.0,46.0,19.0,111.0,102.0,120.0,65.0,67.0,130.0,25.0,58.0,32.0,71.0,10.0,0.0,91.0,119.0,71.0,67.0,100.0,57.0,57.0,111.0,79.0,55.0,71.0
98.0,142.0,51.0,127.0,0.0,78.0,54.0,69.0,55.0,135.0,65.0,37.0,36.0,39.0,45.0,110.0,20.0,14.0,29.0,135.0,137.0,39.0,75.0,68.0,68.0,141.0,100.0,91.0,0.0,28.0,141.0,24.0,9.0,127.0,127.0,20.0,149.0,125.0,28.0
126.0,170.0,79.0,155.0,28.0,106.0,82.0,97.0,83.0,163.0,93.0,21.0,64.0,24.0,73.0,138.0,14.0,42.0,13.0,163.0,165.0,24.0,103.0,96.0,96.0,169.0,128.0,119.0,28.0,0.0,169.0,52.0,19.0,155.0,155.0,14.0,177.0,153.0,56.0
49.0,11.0,144.0,14.0,141.0,82.0,87.0,72.0,148.0,30.0,104.0,178.0,105.0,180.0,96.0,90.0,161.0,152.0,170.0,30.0,10.0,180.0,74.0,108.0,82.0,0.0,69.0,71.0,141.0,169.0,0.0,117.0,150.0,14.0,14.0,161.0,8.0,32.0,121.0
74.0,118.0,33.0,103.0,24.0,54.0,30.0,45.0,37.0,111.0,41.0,61.0,12.0,63.0,21.0,86.0,44.0,35.0,53.0,111.0,113.0,63.0,51.0,44.0,44.0,117.0,76.0,67.0,24.0,52.0,117.0,0.0,33.0,103.0,103.0,44.0,125.0,101.0,10.0
107.0,151.0,60.0,136.0,9.0,87.0,63.0,78.0,64.0,144.0,74.0,32.0,45.0,34.0,54.0,119.0,15.0,23.0,24.0,144.0,146.0,34.0,84.0,77.0,77.0,150.0,109.0,100.0,9.0,19.0,150.0,33.0,0.0,136.0,136.0,15.0,158.0,134.0,37.0
35.0,19.0,130.0,0.0,127.0,68.0,73.0,58.0,134.0,20.0,90.0,164.0,91.0,166.0,82.0,76.0,147.0,138.0,156.0,20.0,18.0,166.0,60.0,94.0,68.0,14.0,55.0,57.0,127.0,155.0,14.0,103.0,136.0,0.0,0.0,147.0,22.0,18.0,107.0
35.0,19.0,130.0,0.0,127.0,68.0,73.0,58.0,134.0,20.0,90.0,164.0,91.0,166.0,82.0,76.0,147.0,138.0,156.0,20.0,18.0,166.0,60.0,94.0,68.0,14.0,55.0,57.0,127.0,155.0,14.0,103.0,136.0,0.0,0.0,147.0,22.0,18.0,107.0
118.0,162.0,71.0,147.0,20.0,98.0,74.0,89.0,75.0,155.0,85.0,17.0,56.0,19.0,65.0,130.0,0.0,34.0,9.0,155.0,157.0,19.0,95.0,88.0,88.0,161.0,120.0,111.0,20.0,14.0,161.0,44.0,15.0,147.0,147.0,0.0,169.0,145.0,48.0
57.0,10.0,152.0,22.0,149.0,90.0,95.0,80.0,156.0,38.0,112.0,186.0,113.0,188.0,104.0,98.0,169.0,160.0,178.0,38.0,13.0,188.0,82.0,116.0,90.0,8.0,77.0,79.0,149.0,177.0,8.0,125.0,158.0,22.0,22.0,169.0,0.0,40.0,129.0
33.0,33.0,128.0,18.0,125.0,66.0,71.0,56.0,132.0,10.0,88.0,162.0,89.0,164.0,80.0,74.0,145.0,136.0,154.0,10.0,28.0,164.0,58.0,92.0,66.0,32.0,53.0,55.0,125.0,153.0,32.0,101.0,134.0,18.0,18.0,145.0,40.0,0.0,105.0
78.0,122.0,24.0,107.0,28.0,58.0,34.0,49.0,28.0,115.0,45.0,65.0,16.0,67.0,25.0,90.0,48.0,39.0,57.0,115.0,117.0,67.0,55.0,48.0,48.0,121.0,80.0,71.0,28.0,56.0,121.0,10.0,37.0,107.0,107.0,48.0,129.0,105.0,0.0
