0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,99.0,69.0,72.0,46.0,39.0,106.0,102.0,59.0,62.0,25.0,8.0,33.0,48.0,8.0,113.0,99.0,64.0,89.0,94.0,64.0,60.0,112.0,46.0,105.0,24.0,48.0,38.0,12.0,60.0,73.0,34.0,12.0,40.0,46.0,40.0,48.0,12.0,108.0,66.0,112.0,60.0,91.0,33.0,46.0,42.0
99.0,0.0,138.0,82.0,75.0,84.0,34.0,171.0,128.0,43.0,90.0,102.0,66.0,76.0,102.0,41.0,10.0,63.0,10.0,163.0,63.0,41.0,40.0,115.0,174.0,76.0,76.0,66.0,93.0,41.0,142.0,99.0,93.0,87.0,115.0,68.0,79.0,93.0,36.0,135.0,40.0,129.0,20.0,66.0,115.0,111.0
69.0,138.0,0.0,111.0,79.0,78.0,145.0,87.0,40.0,101.0,48.0,71.0,72.0,81.0,71.0,152.0,138.0,103.0,128.0,79.0,103.0,99.0,151.0,24.0,90.0,63.0,81.0,77.0,57.0,99.0,9.0,39.0,57.0,79.0,24.0,78.0,81.0,57.0,147.0,51.0,151.0,12.0,130.0,72.0,24.0,33.0
72.0,82.0,111.0,0.0,48.0,56.0,89.0,144.0,101.0,39.0,63.0,75.0,39.0,50.0,75.0,96.0,82.0,21.0,72.0,136.0,21.0,41.0,95.0,88.0,147.0,49.0,50.0,38.0,66.0,41.0,115.0,72.0,66.0,59.0,88.0,42.0,52.0,66.0,91.0,108.0,95.0,102.0,74.0,39.0,88.0,84.0
46.0,75.0,79.0,48.0,0.0,50.0,82.0,112.0,69.0,38.0,31.0,48.0,24.0,4.0,48.0,89.0,75.0,40.0,65.0,104.0,40.0,36.0,88.0,56.0,115.0,40.0,4.0,32.0,34.0,36.0,83.0,40.0,34.0,53.0,56.0,15.0,4.0,34.0,84.0,76.0,88.0,70.0,67.0,24.0,56.0,52.0
39.0,84.0,78.0,56.0,50.0,0.0,91.0,111.0,68.0,46.0,30.0,42.0,26.0,52.0,42.0,98.0,84.0,48.0,74.0,103.0,48.0,44.0,97.0,55.0,114.0,16.0,52.0,18.0,33.0,44.0,82.0,39.0,33.0,3.0,55.0,44.0,52.0,33.0,93.0,75.0,97.0,69.0,76.0,26.0,55.0,51.0
106.0,34.0,145.0,89.0,82.0,91.0,0.0,178.0,135.0,50.0,97.0,109.0,73.0,83.0,109.0,10.0,31.0,70.0,33.0,170.0,70.0,48.0,6.0,122.0,181.0,83.0,83.0,73.0,100.0,48.0,149.0,106.0,100.0,94.0,122.0,75.0,86.0,100.0,19.0,142.0,6.0,136.0,19.0,73.0,122.0,118.0
102.0,171.0,87.0,144.0,112.0,111.0,178.0,0.0,47.0,134.0,81.0,104.0,105.0,114.0,104.0,185.0,171.0,136.0,161.0,20.0,136.0,132.0,184.0,64.0,4.0,96.0,114.0,110.0,90.0,132.0,91.0,72.0,90.0,112.0,64.0,111.0,114.0,90.0,180.0,36.0,184.0,75.0,163.0,105.0,64.0,60.0
59.0,128.0,40.0,101.0,69.0,68.0,135.0,47.0,0.0,91.0,38.0,61.0,62.0,71.0,61.0,142.0,128.0,93.0,118.0,39.0,93.0,89.0,141.0,17.0,50.0,53.0,71.0,67.0,47.0,89.0,44.0,29.0,47.0,69.0,17.0,68.0,71.0,47.0,137.0,11.0,141.0,28.0,120.0,62.0,17.0,17.0
62.0,43.0,101.0,39.0,38.0,46.0,50.0,134.0,91.0,0.0,53.0,65.0,29.0,39.0,65.0,57.0,43.0,20.0,33.0,126.0,20.0,2.0,56.0,78.0,137.0,39.0,39.0,28.0,56.0,2.0,105.0,62.0,56.0,49.0,78.0,31.0,42.0,56.0,52.0,98.0,56.0,92.0,35.0,29.0,78.0,74.0
25.0,90.0,48.0,63.0,31.0,30.0,97.0,81.0,38.0,53.0,0.0,27.0,24.0,33.0,27.0,104.0,90.0,55.0,80.0,73.0,55.0,51.0,103.0,25.0,84.0,19.0,33.0,29.0,13.0,51.0,52.0,9.0,13.0,32.0,25.0,30.0,33.0,13.0,99.0,45.0,103.0,39.0,82.0,24.0,25.0,21.0
8.0,102.0,71.0,75.0,48.0,42.0,109.0,104.0,61.0,65.0,27.0,0.0,36.0,50.0,0.0,116.0,102.0,67.0,92.0,96.0,67.0,63.0,115.0,48.0,107.0,27.0,50.0,41.0,14.0,63.0,75.0,36.0,14.0,43.0,48.0,42.0,50.0,14.0,111.0,68.0,115.0,62.0,94.0,36.0,48.0,44.0
33.0,66.0,72.0,39.0,24.0,26.0,73.0,105.0,62.0,29.0,24.0,36.0,0.0,26.0,36.0,80.0,66.0,31.0,56.0,97.0,31.0,27.0,79.0,49.0,108.0,16.0,26.0,8.0,27.0,27.0,76.0,33.0,27.0,29.0,49.0,18.0,26.0,27.0,75.0,69.0,79.0,63.0,58.0,0.0,49.0,45.0
48.0,76.0,81.0,50.0,4.0,52.0,83.0,114.0,71.0,39.0,33.0,50.0,26.0,0.0,50.0,90.0,76.0,41.0,66.0,106.0,41.0,37.0,89.0,58.0,117.0,42.0,0.0,34.0,36.0,37.0,85.0,42.0,36.0,55.0,58.0,11.0,8.0,36.0,85.0,78.0,89.0,72.0,68.0,26.0,58.0,54.0
8.0,102.0,71.0,75.0,48.0,42.0,109.0,104.0,61.0,65.0,27.0,0.0,36.0,50.0,0.0,116.0,102.0,67.0,92.0,96.0,67.0,63.0,115.0,48.0,107.0,27.0,50.0,41.0,14.0,63.0,75.0,36.0,14.0,43.0,48.0,42.0,50.0,14.0,111.0,68.0,115.0,62.0,94.0,36.0,48.0,44.0
113.0,41.0,152.0,96.0,89.0,98.0,10.0,185.0,142.0,57.0,104.0,116.0,80.0,90.0,116.0,0.0,38.0,77.0,40.0,177.0,77.0,55.0,12.0,129.0,188.0,90.0,90.0,80.0,107.0,55.0,156.0,113.0,107.0,101.0,129.0,82.0,93.0,107.0,9.0,149.0,12.0,143.0,22.0,80.0,129.0,125.0
99.0,10.0,138.0,82.0,75.0,84.0,31.0,171.0,128.0,43.0,90.0,102.0,66.0,76.0,102.0,38.0,0.0,63.0,10.0,163.0,63.0,41.0,37.0,115.0,174.0,76.0,76.0,66.0,93.0,41.0,142.0,99.0,93.0,87.0,115.0,68.0,79.0,93.0,33.0,135.0,37.0,129.0,20.0,66.0,115.0,111.0
64.0,63.0,103.0,21.0,40.0,48.0,70.0,136.0,93.0,20.0,55.0,67.0,31.0,41.0,67.0,77.0,63.0,0.0,53.0,128.0,0.0,22.0,76.0,80.0,139.0,41.0,41.0,30.0,58.0,22.0,107.0,64.0,58.0,51.0,80.0,33.0,44.0,58.0,72.0,100.0,76.0,94.0,55.0,31.0,80.0,76.0
89.0,10.0,128.0,72.0,65.0,74.0,33.0,161.0,118.0,33.0,80.0,92.0,56.0,66.0,92.0,40.0,10.0,53.0,0.0,153.0,53.0,31.0,39.0,105.0,164.0,66.0,66.0,56.0,83.0,31.0,132.0,89.0,83.0,77.0,105.0,58.0,69.0,83.0,35.0,125.0,39.0,119.0,18.0,56.0,105.0,101.0
94.0,163.0,79.0,136.0,104.0,103.0,170.0,20.0,39.0,126.0,73.0,96.0,97.0,106.0,96.0,177.0,163.0,128.0,153.0,0.0,128.0,124.0,176.0,56.0,24.0,88.0,106.0,102.0,82.0,124.0,83.0,64.0,82.0,104.0,56.0,103.0,106.0,82.0,172.0,28.0,176.0,67.0,155.0,97.0,56.0,52.0
64.0,63.0,103.0,21.0,40.0,48.0,70.0,136.0,93.0,20.0,55.0,67.0,31.0,41.0,67.0,77.0,63.0,0.0,53.0,128.0,0.0,22.0,76.0,80.0,139.0,41.0,41.0,30.0,58.0,22.0,107.0,64.0,58.0,51.0,80.0,33.0,44.0,58.0,72.0,100.0,76.0,94.0,55.0,31.0,80.0,76.0
60.0,41.0,99.0,41.0,36.0,44.0,48.0,132.0,89.0,2.0,51.0,63.0,27.0,37.0,63.0,55.0,41.0,22.0,31.0,124.0,22.0,0.0,54.0,76.0,135.0,37.0,37.0,26.0,54.0,0.0,103.0,60.0,54.0,47.0,76.0,29.0,40.0,54.0,50.0,96.0,54.0,90.0,33.0,27.0,76.0,72.0
112.0,40.0,151.0,95.0,88.0,97.0,6.0,184.0,141.0,56.0,103.0,115.0,79.0,89.0,115.0,12.0,37.0,76.0,39.0,176.0,76.0,54.0,0.0,128.0,187.0,89.0,89.0,79.0,106.0,54.0,155.0,112.0,106.0,100.0,128.0,81.0,92.0,106.0,21.0,148.0,0.0,142.0,21.0,79.0,128.0,124.0
46.0,115.0,24.0,88.0,56.0,55.0,122.0,64.0,17.0,78.0,25.0,48.0,49.0,58.0,48.0,129.0,115.0,80.0,105.0,56.0,80.0,76.0,128.0,0.0,67.0,40.0,58.0,54.0,34.0,76.0,28.0,16.0,34.0,56.0,0.0,55.0,58.0,34.0,124.0,28.0,128.0,15.0,107.0,49.0,0.0,10.0
105.0,174.0,90.0,147.0,115.0,114.0,181.0,4.0,50.0,137.0,84.0,107.0,108.0,117.0,107.0,188.0,174.0,139.0,164.0,24.0,139.0,135.0,187.0,67.0,0.0,99.0,117.0,113.0,93.0,135.0,94.0,75.0,93.0,115.0,67.0,114.0,117.0,93.0,183.0,39.0,187.0,78.0,166.0,108.0,67.0,63.0
24.0,76.0,63.0,49.0,40.0,16.0,83.0,96.0,53.0,39.0,19.0,27.0,16.0,42.0,27.0,90.0,76.0,41.0,66.0,88.0,41.0,37.0,89.0,40.0,99.0,0.0,42.0,15.0,18.0,37.0,67.0,28.0,18.0,17.0,40.0,34.0,42.0,18.0,85.0,60.0,89.0,54.0,68.0,16.0,40.0,36.0
48.0,76.0,81.0,50.0,4.0,52.0,83.0,114.0,71.0,39.0,33.0,50.0,26.0,0.0,50.0,90.0,76.0,41.0,66.0,106.0,41.0,37.0,89.0,58.0,117.0,42.0,0.0,34.0,36.0,37.0,85.0,42.0,36.0,55.0,58.0,11.0,8.0,36.0,85.0,78.0,89.0,72.0,68.0,26.0,58.0,54.0
38.0,66.0,77.0,38.0,32.0,18.0,73.0,110.0,67.0,28.0,29.0,41.0,8.0,34.0,41.0,80.0,66.0,30.0,56.0,102.0,30.0,26.0,79.0,54.0,113.0,15.0,34.0,0.0,32.0,26.0,81.0,38.0,32.0,21.0,54.0,26.0,34.0,32.0,75.0,74.0,79.0,68.0,58.0,8.0,54.0,50.0
12.0,93.0,57.0,66.0,34.0,33.0,100.0,90.0,47.0,56.0,13.0,14.0,27.0,36.0,14.0,107.0,93.0,58.0,83.0,82.0,58.0,54.0,106.0,34.0,93.0,18.0,36.0,32.0,0.0,54.0,61.0,22.0,0.0,34.0,34.0,33.0,36.0,0.0,102.0,54.0,106.0,48.0,85.0,27.0,34.0,30.0
60.0,41.0,99.0,41.0,36.0,44.0,48.0,132.0,89.0,2.0,51.0,63.0,27.0,37.0,63.0,55.0,41.0,22.0,31.0,124.0,22.0,0.0,54.0,76.0,135.0,37.0,37.0,26.0,54.0,0.0,103.0,60.0,54.0,47.0,76.0,29.0,40.0,54.0,50.0,96.0,54.0,90.0,33.0,27.0,76.0,72.0
73.0,142.0,9.0,115.0,83.0,82.0,149.0,91.0,44.0,105.0,52.0,75.0,76.0,85.0,75.0,156.0,142.0,107.0,132.0,83.0,107.0,103.0,155.0,28.0,94.0,67.0,85.0,81.0,61.0,103.0,0.0,43.0,61.0,83.0,28.0,82.0,85.0,61.0,151.0,55.0,155.0,16.0,134.0,76.0,28.0,37.0
34.0,99.0,39.0,72.0,40.0,39.0,106.0,72.0,29.0,62.0,9.0,36.0,33.0,42.0,36.0,113.0,99.0,64.0,89.0,64.0,64.0,60.0,112.0,16.0,75.0,28.0,42.0,38.0,22.0,60.0,43.0,0.0,22.0,41.0,16.0,39.0,42.0,22.0,108.0,36.0,112.0,30.0,91.0,33.0,16.0,12.0
12.0,93.0,57.0,66.0,34.0,33.0,100.0,90.0,47.0,56.0,13.0,14.0,27.0,36.0,14.0,107.0,93.0,58.0,83.0,82.0,58.0,54.0,106.0,34.0,93.0,18.0,36.0,32.0,0.0,54.0,61.0,22.0,0.0,34.0,34.0,33.0,36.0,0.0,102.0,54.0,106.0,48.0,85.0,27.0,34.0,30.0
40.0,87.0,79.0,59.0,53.0,3.0,94.0,112.0,69.0,49.0,32.0,43.0,29.0,55.0,43.0,101.0,87.0,51.0,77.0,104.0,51.0,47.0,100.0,56.0,115.0,17.0,55.0,21.0,34.0,47.0,83.0,41.0,34.0,0.0,56.0,47.0,55.0,34.0,96.0,76.0,100.0,70.0,79.0,29.0,56.0,52.0
46.0,115.0,24.0,88.0,56.0,55.0,122.0,64.0,17.0,78.0,25.0,48.0,49.0,58.0,48.0,129.0,115.0,80.0,105.0,56.0,80.0,76.0,128.0,0.0,67.0,40.0,58.0,54.0,34.0,76.0,28.0,16.0,34.0,56.0,0.0,55.0,58.0,34.0,124.0,28.0,128.0,15.0,107.0,49.0,0.0,10.0
40.0,68.0,78.0,42.0,15.0,44.0,75.0,111.0,68.0,31.0,30.0,42.0,18.0,11.0,42.0,82.0,68.0,33.0,58.0,103.0,33.0,29.0,81.0,55.0,114.0,34.0,11.0,26.0,33.0,29.0,82.0,39.0,33.0,47.0,55.0,0.0,19.0,33.0,77.0,75.0,81.0,69.0,60.0,18.0,55.0,51.0
48.0,79.0,81.0,52.0,4.0,52.0,86.0,114.0,71.0,42.0,33.0,50.0,26.0,8.0,50.0,93.0,79.0,44.0,69.0,106.0,44.0,40.0,92.0,58.0,117.0,42.0,8.0,34.0,36.0,40.0,85.0,42.0,36.0,55.0,58.0,19.0,0.0,36.0,88.0,78.0,92.0,72.0,71.0,26.0,58.0,54.0
12.0,93.0,57.0,66.0,34.0,33.0,100.0,90.0,47.0,56.0,13.0,14.0,27.0,36.0,14.0,107.0,93.0,58.0,83.0,82.0,58.0,54.0,106.0,34.0,93.0,18.0,36.0,32.0,0.0,54.0,61.0,22.0,0.0,34.0,34.0,33.0,36.0,0.0,102.0,54.0,106.0,48.0,85.0,27.0,34.0,30.0
108.0,36.0,147.0,91.0,84.0,93.0,19.0,180.0,137.0,52.0,99.0,111.0,75.0,85.0,111.0,9.0,33.0,72.0,35.0,172.0,72.0,50.0,21.0,124.0,183.0,85.0,85.0,75.0,102.0,50.0,151.0,108.0,102.0,96.0,124.0,77.0,88.0,102.0,0.0,144.0,21.0,138.0,17.0,75.0,124.0,120.0
66.0,135.0,51.0,108.0,76.0,75.0,142.0,36.0,11.0,98.0,45.0,68.0,69.0,78.0,68.0,149.0,135.0,100.0,125.0,28.0,100.0,96.0,148.0,28.0,39.0,60.0,78.0,74.0,54.0,96.0,55.0,36.0,54.0,76.0,28.0,75.0,78.0,54.0,144.0,0.0,148.0,39.0,127.0,69.0,28.0,24.0
112.0,40.0,151.0,95.0,88.0,97.0,6.0,184.0,141.0,56.0,103.0,115.0,79.0,89.0,115.0,12.0,37.0,76.0,39.0,176.0,76.0,54.0,0.0,128.0,187.0,89.0,89.0,79.0,106.0,54.0,155.0,112.0,106.0,100.0,128.0,81.0,92.0,106.0,21.0,148.0,0.0,142.0,21.0,79.0,128.0,124.0
60.0,129.0,12.0,102.0,70.0,69.0,136.0,75.0,28.0,92.0,39.0,62.0,63.0,72.0,62.0,143.0,129.0,94.0,119.0,67.0,94.0,90.0,142.0,15.0,78.0,54.0,72.0,68.0,48.0,90.0,16.0,30.0,48.0,70.0,15.0,69.0,72.0,48.0,138.0,39.0,142.0,0.0,121.0,63.0,15.0,21.0
91.0,20.0,130.0,74.0,67.0,76.0,19.0,163.0,120.0,35.0,82.0,94.0,58.0,68.0,94.0,22.0,20.0,55.0,18.0,155.0,55.0,33.0,21.0,107.0,166.0,68.0,68.0,58.0,85.0,33.0,134.0,91.0,85.0,79.0,107.0,60.0,71.0,85.0,17.0,127.0,21.0,121.0,0.0,58.0,107.0,103.0
33.0,66.0,72.0,39.0,24.0,26.0,73.0,105.0,62.0,29.0,24.0,36.0,0.0,26.0,36.0,80.0,66.0,31.0,56.0,97.0,31.0,27.0,79.0,49.0,108.0,16.0,26.0,8.0,27.0,27.0,76.0,33.0,27.0,29.0,49.0,18.0,26.0,27.0,75.0,69.0,79.0,63.0,58.0,0.0,49.0,45.0
46.0,115.0,24.0,88.0,56.0,55.0,122.0,64.0,17.0,78.0,25.0,48.0,49.0,58.0,48.0,129.0,115.0,80.0,105.0,56.0,80.0,76.0,128.0,0.0,67.0,40.0,58.0,54.0,34.0,76.0,28.0,16.0,34.0,56.0,0.0,55.0,58.0,34.0,124.0,28.0,128.0,15.0,107.0,49.0,0.0,10.0
42.0,111.0,33.0,84.0,52.0,51.0,118.0,60.0,17.0,74.0,21.0,44.0,45.0,54.0,44.0,125.0,111.0,76.0,101.0,52.0,76.0,72.0,124.0,10.0,63.0,36.0,54.0,50.0,30.0,72.0,37.0,12.0,30.0,52.0,10.0,51.0,54.0,30.0,120.0,24.0,124.0,21.0,103.0,45.0,10.0,0.0
